id,symbol,name,current_price,market_cap,total_supply,ath,ath_date,atl,atl_date,price_change_percentage_24h,loaded_date
bitcoin,btc,Bitcoin,120931.0,2410260713364,19931834.0,126080.0,2025-10-06T18:57:42.558Z,67.81,2013-07-06T00:00:00.000Z,-2.11632,2025-10-09
ethereum,eth,Ethereum,4332.21,522789747774,120702062.5832029,4946.05,2025-08-24T19:21:03.333Z,0.432979,2015-10-20T00:00:00.000Z,-4.10226,2025-10-09
solana,sol,Solana,218.51,119363837395,611445335.2872138,293.31,2025-01-19T11:15:27.957Z,0.500801,2020-05-11T19:35:23.449Z,-4.52439,2025-10-09
dogecoin,doge,Dogecoin,0.246379,37296987997,151282386383.7052,0.731578,2021-05-08T05:08:23.458Z,8.69e-05,2015-05-06T00:00:00.000Z,-4.85477,2025-10-09
cardano,ada,Cardano,0.808714,29558262324,45000000000.0,3.09,2021-09-02T06:00:10.474Z,0.01925275,2020-03-13T02:22:55.044Z,-3.56805,2025-10-09
