id,symbol,name,current_price,market_cap,total_supply,ath,ath_date,atl,atl_date,price_change_percentage_24h,loaded_date
bitcoin,btc,Bitcoin,124699.0,2483900802520,19928203.0,125506.0,2025-10-05T04:52:27.031Z,67.81,2013-07-06T00:00:00.000Z,1.14428,2025-10-06
ethereum,eth,Ethereum,4588.5,553731132436,120702352.6174614,4946.05,2025-08-24T19:21:03.333Z,0.432979,2015-10-20T00:00:00.000Z,1.07739,2025-10-06
solana,sol,Solana,234.18,127785373637,611305659.9029526,293.31,2025-01-19T11:15:27.957Z,0.500801,2020-05-11T19:35:23.449Z,1.32927,2025-10-06
dogecoin,doge,Dogecoin,0.260904,39445576514,151237836383.7052,0.731578,2021-05-08T05:08:23.458Z,8.69e-05,2015-05-06T00:00:00.000Z,1.88326,2025-10-06
cardano,ada,Cardano,0.857213,31328348770,45000000000.0,3.09,2021-09-02T06:00:10.474Z,0.01925275,2020-03-13T02:22:55.044Z,-0.03916,2025-10-06
